Order ID,Order Date,Region,Category,Sub-Category,Sales,Quantity,Profit
CA-001,1/5/2023,West,Furniture,Chair,200,2,50
CA-002,1/7/2023,East,Technology,Laptop,1200,1,200
CA-003,1/10/2023,South,Office,Paper,50,5,10
CA-004,1/12/2023,Central,Furniture,Desk,350,1,70
CA-005,1/15/2023,West,Technology,Printer,300,1,60
CA-006,1/18/2023,East,Office,Pen,20,10,5
CA-007,1/20/2023,South,Furniture,Cabinet,450,1,90
CA-008,1/22/2023,Central,Technology,Monitor,250,2,40
CA-009,1/25/2023,West,Office,Notebook,30,5,7
CA-010,1/28/2023,East,Furniture,Chair,220,1,40
CA-011,2/1/2023,South,Technology,Laptop,1300,1,220
CA-012,2/3/2023,Central,Office,Paper,60,6,12
CA-013,2/5/2023,West,Furniture,Desk,400,1,80
CA-014,2/7/2023,East,Technology,Printer,280,1,55
CA-015,2/10/2023,South,Office,Pen,25,12,6
CA-016,2/12/2023,Central,Furniture,Chair,210,1,45
CA-017,2/14/2023,West,Technology,Monitor,260,2,45
CA-018,2/16/2023,East,Office,Notebook,35,4,8
CA-019,2/18/2023,South,Furniture,Cabinet,470,1,95
CA-020,2/20/2023,Central,Technology,Laptop,1250,1,210
CA-021,2/22/2023,West,Office,Paper,55,5,10
CA-022,2/24/2023,East,Furniture,Desk,360,1,70
CA-023,2/26/2023,South,Technology,Printer,290,1,60
CA-024,2/28/2023,Central,Office,Pen,22,10,5
CA-025,3/2/2023,West,Furniture,Chair,225,1,45
CA-026,3/4/2023,East,Technology,Monitor,270,2,50
CA-027,3/6/2023,South,Office,Notebook,40,6,9
CA-028,3/8/2023,Central,Furniture,Cabinet,480,1,100
CA-029,3/10/2023,West,Technology,Laptop,1350,1,230
CA-030,3/12/2023,East,Office,Paper,65,7,14
